Índice de día,Sesiones,Transacciones,Sesiones google / cpc,Transacciones google / cpc,CPC,Coste
16/11/2021,3088,108,349,9,1.4586312305296,468.220625
17/11/2021,3344,111,378,6,1.705773,576.551274
18/11/2021,3311,131,375,13,1.61663718032787,591.689208
19/11/2021,2783,107,490,10,1.47431206273764,775.488145
20/11/2021,1863,34,470,6,1.37630186824324,814.770706
21/11/2021,2041,43,448,4,1.52019180244399,746.414175
22/11/2021,3665,122,536,6,1.33190884346225,723.226502
23/11/2021,3202,132,349,6,1.74836829152542,515.768646
24/11/2021,3082,102,485,7,1.30429477777778,751.273792
25/11/2021,2538,49,356,6,1.57647795336788,608.52049
26/11/2021,2746,86,521,11,1.5572495177665,920.334465
27/11/2021,1836,44,404,8,1.47483557021277,693.172718
28/11/2021,2028,60,376,4,1.47779800238663,619.197363
29/11/2021,3656,155,495,16,1.46938856351039,636.245248
30/11/2021,3399,131,396,5,1.24291493866667,466.093102
,1721400,22698,56511,558,1.3368243660321,270427.537829
